DMAINDEX,Count of # orders,total $,count of customers,CNTYTVHH_count,STATE,COUNTY,STATEFP,CNTYFP,CNTYTVHH_DMAP,DMA,GOOGLE_DMA,STCOUNTYFP
67.0,195,87147.14,158,824490.0,VA ,Bedford City                ,51,515,0,ROANOKE-LYNCHBURG                                                    ,,51515
68.0,19,9432.3,18,317620.0,MI ,Lenawee                     ,26,91,36890,TOLEDO (OH)                                                          ,Toledo OH,2691
69.0,32,13605.099999999999,23,450330.0,MI ,Menominee                   ,26,109,10630,GREEN BAY (WI) - APPLETON (WI)                                       ,Green Bay-Appleton WI,26109
72.0,113,55228.64,85,2634400.0,IA ,Adair                       ,19,1,3390,DES MOINES (IA) - AMES (IA)                                          ,Des Moines-Ames IA,191
73.0,28,10857.06,16,127640.0,AR ,Baxter                      ,5,5,17170,SPRINGFIELD (MO)                                                     ,Springfield-Holyoke MA,55
75.0,46,32715.54,39,279290.0,IL ,Alexander                   ,17,3,3620,PADUCAH (KY) - CAPE GIRARDEAU (MO) - HARRISBURG (IL) - MT VERNON (KS),Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,173
77.0,25,15425.86,18,193000.0,NY ,Livingston                  ,36,51,21940,ROCHESTER (NY)                                                       ,Rochester NY,3651
78.0,41,13973.0,37,406930.0,IA ,Cass                        ,19,29,5990,OMAHA (NE)                                                           ,Omaha NE,1929
80.0,15,9606.119999999999,12,102000.0,NY ,Cayuga                      ,36,11,30180,SYRACUSE (NY)                                                        ,Syracuse NY,3611
81.0,34,38789.3,27,168050.0,AR ,Columbia                    ,5,27,9680,SHREVEPORT (LA)                                                      ,Shreveport LA,527
82.0,60,27082.22,48,508830.0,IL ,Champaign                   ,17,19,69400,CHAMPAIGN (IL) - SPRINGFIELD (IL) - DECATUR (IL)                     ,Champaign & Springfield-Decatur IL,1719
83.0,1,3825.26,1,12560.0,AL ,Colbert                     ,1,33,22230,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL,133
85.0,77,32467.66,67,442470.0,GA ,Catoosa                     ,13,47,21310,CHATTANOOGA (TN)                                                     ,Chattanooga TN,1347
86.0,24,15572.06,18,435320.0,WI ,Columbia                    ,55,21,20940,MADISON (WI)                                                         ,Madison WI,5521
87.0,39,23381.6,31,944330.0,IN ,Elkhart                     ,18,39,65900,SOUTH BEND (IN) - ELKHART (IN)                                       ,South Bend-Elkhart IN,1839
88.0,34,14866.1,32,774830.0,IA ,Allamakee                   ,19,5,5670,CEDAR RAPIDS (IA) - WATERLOO (IA) - IOWA CITY (IA) - DUBUQUE (IA)    ,Cedar Rapids-Waterloo-Iowa City & Dubuque IA,195
89.0,27,20409.3,23,194010.0,MS ,Adams                       ,28,1,13220,JACKSON (MS)                                                         ,Jackson MS,281
90.0,102,44991.04,95,892420.0,KY ,Leslie                      ,21,131,4590,KINGSPORT (TN) - JOHNSON CITY (TN) - BRISTOL (TN)                    ,,21131
90.0,102,44991.04,95,892420.0,VA ,Bristol City                ,51,520,0,"TRI-CITIES, TN-VA                                                    ",Tri-Cities TN-VA,51520
92.0,31,15276.8,29,526090.0,IA ,Clinton                     ,19,45,19760,DAVENPORT (IA) - ROCK ISLAND (IL) - MOLINE (IL)                      ,Davenport IA-Rock Island-Moline IL,1945
93.0,34,31182.4,32,628930.0,TX ,Bell                        ,48,27,88380,WACO (TX) - TEMPLE (TX) - BRYAN (TX)                                 ,Waco-Temple-Bryan TX,4827
95.0,16,4761.5599999999995,7,41140.0,LA ,Ascension Parish            ,22,5,28290,BATON ROUGE (LA)                                                     ,Baton Rouge LA,225
96.0,14,7269.459999999999,12,155900.0,PA ,Bedford                     ,42,9,19850,JOHNSTOWN (PA) - ALTOONA (PA)                                        ,Johnstown-Altoona PA,429
97.0,18,7450.0,13,838220.0,TX ,Cameron                     ,48,61,100520,HARLINGEN (TX) - WESLACO (TX) - BROWNSVILLE (TX) - MCALLEN (TX)      ,Harlingen-Weslaco-Brownsville-McAllen TX,4861
98.0,11,6136.52,11,59540.0,GA ,Appling                     ,13,1,6600,SAVANNAH (GA)                                                        ,Savannah GA,131
99.0,39,30007.940000000002,34,513860.0,IL ,Edwards                     ,17,47,2790,EVANSVILLE (IN)                                                      ,Evansville IN,1747
100.0,10,3839.8,9,618310.0,OH ,Columbiana                  ,39,29,42720,YOUNGSTOWN (OH)                                                      ,Youngstown OH,3929
101.0,44,16987.18,33,2368480.0,NM ,Dona Ana                    ,35,13,59130,EL PASO (TX)                                                         ,El Paso TX,3513
102.0,34,15021.68,32,815820.0,KS ,Jewell                      ,20,89,1590,LINCOLN (NE) - HASTINGS (NE) - KEARNEY (NE)                          ,Lincoln & Hastings-Kearney NE,2089
103.0,73,43828.479999999996,61,782250.0,NC ,Beaufort                    ,37,13,18510,GREENVILLE (NC) - NEW BERN (NC) - WASHINGTON (NC)                    ,Greenville-New Bern-Washington NC,3713
104.0,20,13345.12,20,129560.0,IN ,Adams                       ,18,1,11770,FT. WAYNE (IN)                                                       ,Ft. Wayne IN,181
107.0,34,13936.6,29,217650.0,FL ,Gadsden                     ,12,39,17480,TALLAHASSEE (FL) - THOMASVILLE (GA)                                  ,Tallahassee FL-Thomasville GA,1239
108.0,1,120.66,1,14910.0,AR ,Benton                      ,5,7,60860,FT. SMITH (AR) - FAY (AR) - SPRINGDALE (AR) - ROGERS (AR)            ,Ft. Smith-Fayetteville-Springdale-Rogers AR,57
109.0,104,98170.2,80,1119400.0,TX ,Angelina                    ,48,5,29130,TYLER (TX) - LONGVIEW (TX) - LUFKIN (TX) - NACOGDOCHES (TX)          ,Tyler-Longview(Lufkin & Nacogdoches) TX,485
110.0,6,3629.44,6,115360.0,NC ,Robeson                     ,37,155,44200,FLORENCE (SC) - MYRTLE BEACH (SC)                                    ,Florence-Myrtle Beach SC,37155
112.0,9,5990.9,7,17530.0,IA ,Lyon                        ,19,119,4150,SIOUX FALLS (SD) - MITCHELL (SD)                                     ,Sioux Falls(Mitchell) SD,19119
113.0,24,11844.44,21,173810.0,MI ,Antrim                      ,26,9,9640,TRAVERSE CITY (MI) - CADILLAC (MI)                                   ,Traverse City-Cadillac MI,269
114.0,20,12614.619999999999,15,84680.0,CA ,Alpine                      ,6,3,430,RENO (NV)                                                            ,Reno NV,63
115.0,44,37317.28,32,472540.0,GA ,Burke                       ,13,33,7890,AUGUSTA (GA)                                                         ,Augusta GA,1333
117.0,91,57649.0,65,1499490.0,IL ,Fulton                      ,17,57,14680,PEORIA (IL) - BLOOMINGTON (IL)                                       ,Peoria-Bloomington IL,1757
118.0,3,1457.56,3,35010.0,MN ,Becker                      ,27,5,11910,FARGO (ND) - VALLEY CITY (ND)                                        ,Fargo-Valley City ND,275
122.0,56,24050.46,53,317020.0,GA ,Baldwin                     ,13,9,15170,MACON (GA)                                                           ,Macon GA,139
123.0,5,1912.26,5,58960.0,MN ,Houston                     ,27,55,7810,LA CROSSE (WI) - EAU CLAIRE (WI)                                     ,La Crosse-Eau Claire WI,2755
125.0,3,763.06,3,39780.0,LA ,Acadia Parish               ,22,1,21150,LAFAYETTE (LA)                                                       ,Lafayette LA,221
126.0,36,14190.94,30,471210.0,AL ,Barbour                     ,1,5,10570,COLUMBUS (GA)                                                        ,Columbus GA,15
128.0,44,33329.68,33,1149110.0,TX ,Aransas                     ,48,7,9210,CORPUS CHRISTI (TX)                                                  ,Corpus Christi TX,487
129.0,62,30073.920000000002,53,451820.0,NM ,Curry                       ,35,9,16200,AMARILLO (TX)                                                        ,Amarillo TX,359
131.0,27,9697.0,24,89830.0,AL ,Lamar                       ,1,75,6360,COLUMBUS (MS) - TUPELO (MS) - WEST POINT (MS)                        ,Columbus-Tupelo-West Point MS,175
133.0,10,10433.36,8,28470.0,AR ,Ashley                      ,5,3,9260,MONROE (LA) - EL DORADO (AR)                                         ,Monroe LA-El Dorado AR,53
134.0,13,4315.32,9,96090.0,WI ,Adams                       ,55,1,8210,WAUSAU (WI) - RHINELANDER (WI)                                       ,Wausau-Rhinelander WI,551
135.0,27,15564.74,24,829470.0,IL ,Boone                       ,17,7,15210,ROCKFORD (IL)                                                        ,Rockford IL,177
136.0,26,19490.7,21,836350.0,MI ,Gogebic                     ,26,53,7190,DULUTH (MN) - SUPERIOR (WI)                                          ,Duluth MN-Superior WI,2653
137.0,20,16692.56,19,614910.0,TX ,Hardin                      ,48,199,18300,BEAUMONT (TX) - PORT ARTHUR (TX)                                     ,Beaumont-Port Arthur TX,48199
138.0,43,24686.0,27,622850.0,KS ,Brown                       ,20,13,4040,TOPEKA (KS)                                                          ,Topeka KS,2013
139.0,20,8528.619999999999,8,36110.0,MO ,Audrain                     ,29,7,9930,COLUMBIA (MO) - JEFFERSON CITY (MO)                                  ,Columbia-Jefferson City MO,297
140.0,14,4143.2,11,177460.0,IA ,Buena Vista                 ,19,21,7330,SIOUX CITY (IA)                                                      ,Sioux City IA,1921
